envir1,envir2,envir3,envir4,envir5,envir6,envir7,envir8,envir9,envir10
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
2.617144953595436,3.409280591808607,1.8247929342002132,2.0866408108097465,2.6531058365133497,1.9227947006424633,2.7505807689458264,-0.5285802334079334,3.559023126066274,8.363484313488245
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
6.076472609476621,4.650006787190652,2.7414502915257666,5.71552638895533,6.153043290325949,1.975077263930088,3.02541668505997,1.8596661770902818,5.00888879335574,7.872020475943171
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
8.494201008815729,6.241202289256723,2.880000463876375,8.841099353097132,6.3824422150167495,2.221456895312606,1.808377618268164,3.107236419629406,5.296450708407184,8.617640228934798
10.824048317675995,9.356168258476725,1.534954644774934,9.942443779965203,9.658074065126383,2.9536705810915516,2.9393847775855013,5.46931760570024,5.489433823133247,9.94665072566229
10.824048317675995,9.356168258476725,1.534954644774934,9.942443779965203,9.658074065126383,2.9536705810915516,2.9393847775855013,5.46931760570024,5.489433823133247,9.94665072566229
10.824048317675995,9.356168258476725,1.534954644774934,9.942443779965203,9.658074065126383,2.9536705810915516,2.9393847775855013,5.46931760570024,5.489433823133247,9.94665072566229
