"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"8",2,15,0.000500680366214473,0.38067096862942,0.64886931842193,0.774042672128417,0.977750330697745,383,7,"linear","sigmoid",10.5371678434623,0.0146868206813039,9.38499470282403,0.159597031316985,0.00860483892715721,0.17959881582683,6
"17",4,13,0.604963914247845,0.222213433124125,0.481325518805534,0.968910490861163,0.576500150607899,320,2,"linear","linear",NA,NA,NA,NA,NA,NA,5
"19",4,44,0.000371228694800429,0.311705690994859,0.0230356308165938,0.81005088891834,0.3333232649602,150,3,"tanh","sigmoid",10.1778214935649,0.0173308698037516,8.9802754428188,0.114239153813825,0.0161728374854786,0.0808864510970736,6
"39",7,22,0.0586558636806438,0.341015252657235,0.881954472977668,0.719291680841707,0.496631423709914,534,2,"linear","linear",NA,NA,NA,NA,NA,NA,5
"2",13,49,7.41953893971065,0.308394427224994,0.623921166174114,0.821893840446137,0.623815272003412,149,9,"sigmoid","linear",10.1329187682729,0.0178576457578516,8.92929486727067,0.145516344994737,0.0164859150211576,0.135947897887401,6
"3",16,83,0.0585438360229716,0.185787610709667,0.922286597313359,0.611272302805446,0.665336758363992,374,10,"tanh","tanh",10.2082155723962,0.0144533129346866,9.01473935728447,0.156210840127192,0.0154802169025873,0.131211655694458,6
"4",17,39,3.19704918103738e-05,0.278055933397263,0.222264519659802,0.781314447987825,0.151487320195884,347,2,"sigmoid","tanh",10.1777856668833,0.0174300994046383,8.98023483213549,0.114239222774251,0.0160791048247441,0.0808863849134349,6
"5",18,74,0.00463441268025842,0.0269813738763332,0.509617580566555,0.701881347573362,0.213670186931267,168,9,"sigmoid","sigmoid",10.1779494166069,0.0179155397757348,8.98042040822959,0.114239672618996,0.0165881849711787,0.0808896359280345,6
"7",20,8,4.57097741455055e-05,0.0668406828306615,0.984945128438994,0.815567020792514,0.102059259079397,71,2,"tanh","linear",18.4243775449361,0.000183101000388459,17.903229379448,33.397702893211,NA,33.5872868301516,6
"6",20,29,0.00011028412154215,0.091367563419044,0.299012838397175,0.75727153767366,0.259967322926968,124,9,"sigmoid","sigmoid",10.1777909824062,0.0174507742471002,8.98024085865663,0.114239177339203,0.0173727562052198,0.0808862721917278,6
"9",21,96,0.289296042164169,0.0740074764937162,0.96552500827238,0.882450321922079,0.861308157909662,83,2,"linear","sigmoid",10.4002317599107,NA,9.23023258502948,0.206149172589194,NA,0.256705770658106,6
"10",24,0,0.000450102739111701,0.201793053653091,0.591638913145289,0.650797084905207,0.874290965497494,372,2,"linear","linear",NA,NA,NA,NA,NA,NA,5
"11",28,89,0.0103387039724139,0.231345266476274,0.77532866736874,0.996436716290191,0.512836488429457,252,9,"sigmoid","linear",1903.57031808041,0.0215768265520463,1903.55036351993,2623.11410201631,0.0244913188442921,2623.1267820493,5
"13",33,87,0.0252474992731956,0.0902652720920742,0.595730089349672,0.998617453733459,0.880712355487049,530,10,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"12",33,100,5.87337021374998,0.298953154496849,0.471263035666198,0.509156798478216,0.377270945347846,174,9,"tanh","tanh",10.759301392513,0.00231149098576752,9.63429172514703,0.112855500851057,0.00305876570441189,0.0810650719959284,6
"14",35,77,0.00207647632968505,0.118030175566673,0.093811851227656,0.926021299441345,0.797171607846394,324,5,"tanh","sigmoid",10.1778757965316,0.0175010620464496,8.98033710041356,0.114240533980844,0.0167212857026995,0.0808880390173564,6
"15",40,3,2.6862742870686e-05,0.055228687543422,0.10251925396733,0.60390238405671,0.665060127386823,224,9,"linear","linear",NA,NA,NA,NA,NA,NA,5
"16",40,6,0.00234130375054793,0.359406067058444,0.895123003283516,0.917100958991796,0.140445352997631,533,10,"linear","sigmoid",NA,NA,NA,NA,NA,NA,5
"18",43,75,0.000336627795838769,0.340073843672872,0.468755545094609,0.686587248230353,0.746589510468766,82,3,"sigmoid","sigmoid",10.1777961072836,0.0209053837437223,8.98024666641417,0.114239181282371,0.0162576604211905,0.0808866300737004,6
"20",45,78,3.66515370919766e-05,0.279317966941744,0.798932104371488,0.949295069323853,0.27689855126664,425,3,"tanh","linear",2316.79577724259,0.00673274214835597,2316.77196150109,2319.42584399175,0.0101413362804498,2319.44944376522,5
"21",45,90,0.000493067008787205,0.174001874867827,0.289604847086594,0.767158441594802,0.560711126076058,312,7,"linear","linear",NA,NA,NA,NA,NA,NA,5
