"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"18",3,65,0.00060494258093489,0.231902256142348,0.333989477017894,0.871930464520119,0.613840370671824,159,10,"sigmoid","sigmoid",8.22493574387516,0.0111295953200901,7.847930289326,0.0866553006810782,0.0110595915885159,0.0656405198582569,6
"22",4,38,5.47591297392261,0.347543400526047,0.883329834090546,0.567412378499284,0.599319618428126,476,6,"sigmoid","tanh",8.38599517147375,0.00959832815403915,8.01656365159692,0.0863873599470309,0.0101416201434681,0.0658700538900571,6
"24",5,7,0.00143998238112565,0.187916777841747,0.348321529338136,0.9640149717452,0.223974913591519,323,4,"tanh","linear",4.82750328204077,0.00544250903061221,4.45134584920421,5.89931675715113,0.0059291388020015,5.97896397398486,6
"28",6,52,0.560155116868315,0.38286846857518,0.154261213727295,0.585009072907269,0.0372463567182422,67,1,"tanh","tanh",8.28248483657866,0.0149464685070768,7.90823234309674,0.0901511827618897,0.0169513440923311,0.0701403649432698,6
"31",7,29,2.78207318946206e-05,0.377721430454403,0.594468848314136,0.523487936821766,0.123675452312455,416,9,"sigmoid","sigmoid",8.22489964217723,0.0108432150576388,7.84789245242406,0.086655464387607,0.0123956406408575,0.0656407379910268,6
"2",10,58,0.0021897253640215,0.287863355129957,0.302964667556807,0.996817113598809,0.230950459139422,252,5,"linear","linear",NA,NA,NA,NA,NA,NA,5
"3",11,98,0.602287782112955,0.328611646126956,0.160107701784,0.516132078482769,0.0689459298737347,611,4,"sigmoid","linear",NA,NA,NA,NA,NA,NA,5
"4",13,62,1.47264356537946,0.285257800109684,0.895225059241056,0.787020076182671,0.225402693031356,623,8,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"5",14,62,0.0338335252615916,0.273399535845965,0.941178102977574,0.679121692664921,0.106673009227961,531,10,"linear","tanh",NA,NA,NA,NA,NA,NA,5
"6",15,13,6.799589260493,0.230193092580885,0.0329435504972935,0.931245116516948,0.746139171766117,300,3,"sigmoid","sigmoid",8.47870258390378,0.0100671383202148,8.11349180831242,0.0862167820140745,0.0109908053579942,0.0658860714214769,6
