"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"13",2,5,0.31114592686565,0.368410464283079,0.853552484884858,0.84285076498054,0.698858910473064,445,7,"tanh","linear",4.56367266928442,0.172279188921923,3.87899591620153,0.13712480240589,0.11358042710451,0.0888190561137047,10
"23",5,24,0.0124047755207126,0.0591351346112788,0.0209916268941015,0.869780044304207,0.0246464174706489,186,1,"tanh","tanh",11.6971023323753,0.0168030304216115,10.722467962995,0.119533018249027,0.0119081843190415,0.148136238488527,9
"22",5,100,2.92605864190578e-05,0.248861059639603,0.889422088628635,0.67786617577076,0.423195241484791,98,4,"sigmoid","tanh",11.6960291560047,0.0165657681095515,10.7212968074117,0.119508369991207,0.0122505474568842,0.148109730902519,9
"28",6,32,0.00133850517097802,0.0404537126421928,0.057501153787598,0.532675671274774,0.9436994290445,213,6,"sigmoid","tanh",11.6961176804693,0.0119315596036771,10.7213934048394,0.119508670088298,0.0167088532251737,0.148109764570305,9
"32",6,93,0.000236774449189347,0.122867575194687,0.593669451307505,0.582966366317123,0.926446396624669,166,4,"sigmoid","tanh",11.6960297549719,0.0134730761830084,10.7212974608188,0.119507975955934,0.00548147229230191,0.148109409165873,9
"35",7,45,0.000104862020998312,0.0732066551223397,0.201200816780329,0.610236075008288,0.103017969289795,67,1,"tanh","sigmoid",11.6960359060138,0.0165458427870489,10.7213041761648,0.119508323195482,0.0131384714061179,0.148109731733913,9
"36",7,53,0.00774840279732405,0.325902100745589,0.53666760516353,0.875120348995551,0.0905785125214607,308,6,"tanh","sigmoid",11.7303248561803,0.00598382097991513,10.758411068433,0.122087927894061,0.00608495863690378,0.171921041882386,9
"42",8,21,0.00101426612869807,0.145428729243577,0.572506931610405,0.869018492638133,0.601030683144927,131,5,"linear","sigmoid",12.1663128810232,0.00988744537844525,11.2320594302476,0.251149104614872,NA,0.279143034260759,9
"43",8,85,0.551955386649438,0.22591981543228,0.808840364217758,0.871719863498583,0.461941431509331,169,4,"linear","tanh",12.2587588044755,NA,11.3324066524698,0.248009290233264,NA,0.268981803985837,9
"4",11,5,0.0120959479758882,0.211068382952362,0.469328711042181,0.743107732152566,0.930073103867471,256,9,"tanh","tanh",11.6972758701973,0.0164915902848622,10.7226574820704,0.11951925548162,0.0119846112488613,0.148119313805766,9
"3",11,20,0.000719592127293503,0.161570019833744,0.520606128964573,0.969162276829593,0.542374642798677,213,4,"sigmoid","linear",4.57715067709656,0.108169516385732,3.88491150303486,0.20822698734221,0.0906975470430882,0.164983857193819,10
"5",14,25,0.00581720021443786,0.0168537396006286,0.115083959652111,0.746971295913681,0.0552478323224932,463,1,"sigmoid","sigmoid",11.6963482795872,0.0169613509023005,10.7216451010424,0.119509255820079,0.0118369123483097,0.148110089308044,9
"6",14,88,3.61505785282986e-05,0.289200105797499,0.347092820797116,0.585296598961577,0.581892977934331,276,2,"linear","sigmoid",12.054430819403,NA,11.1101844302476,0.320593911054953,NA,0.367998168432302,9
"7",15,58,1.64761891569874e-05,0.177133921626955,0.601863624760881,0.92087457573507,0.322475306224078,103,9,"tanh","linear",816.08105659683,0.0152185036661598,816.033679082359,740.135804774474,0.0172023984592022,740.109979139233,7
"8",16,48,0.210424635518763,0.304979006852955,0.981895435368642,0.928902723710053,0.333474782295525,150,4,"sigmoid","sigmoid",11.7023394015629,0.0174347726211371,10.728180005737,0.119656295342447,0.0147281114179069,0.148286873887094,9
"9",18,23,0.703755133495241,0.221116513758898,0.739346400368959,0.627269444637932,0.937111361417919,526,4,"linear","linear",NA,NA,NA,NA,NA,NA,5
"10",18,55,4.07934953424464,0.327690389379859,0.217859022086486,0.752041976782493,0.734924672869965,444,3,"linear","tanh",11.9030818992856,0.0107540918430328,10.9458184208843,0.364598555361522,0.00683569572066361,0.406537682261499,9
"11",21,50,0.000591317745126328,0.365595852769911,0.178170867497101,0.616597997024655,0.584151301998645,389,1,"linear","linear",NA,NA,NA,NA,NA,NA,5
"12",23,76,0.161124150802893,0.248597818985581,0.731514865765348,0.777676081284881,0.209234551992267,607,7,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"14",27,14,1.3410726973626e-05,0.210450973361731,0.161576402839273,0.804184076259844,0.8561957096681,184,1,"tanh","tanh",11.6960292170694,0.016458611844663,10.7212968754425,0.119508367225747,0.0127247434935904,0.148109727854429,9
"15",27,31,5.17965857517717e-05,0.068103389814496,0.0284878348466009,0.723189691314474,0.369101517833769,506,1,"sigmoid","linear",4.62382316976634,0.162128095271308,3.7144182522974,0.272266892097156,0.0637535411396076,0.211848280101572,10
"16",28,80,3.70206349512724e-05,0.0710650564171374,0.501640774542466,0.998400078970008,0.0294443187303841,235,7,"tanh","linear",72310.6675961419,0.00342578622256827,71968.0950445991,106679.636435999,0.00464495895459045,106870.52990421,6
"17",30,25,0.0107414971301677,0.227995508722961,0.0208626904059201,0.948020173003897,0.476613686885685,210,10,"sigmoid","linear",4.73938539690566,0.166250993310259,3.7927662039913,0.241473544847334,0.0538307722963787,0.215949209324798,10
"18",35,5,5.13452958767176,0.0128526832908392,0.134957670932636,0.506196959526278,0.50386721920222,221,9,"tanh","sigmoid",12.0416144342092,NA,11.0972839592551,0.120536398223207,NA,0.148464302574408,9
"19",36,100,0.00129101677103128,0.292383933905512,0.420181835768744,0.766388220945373,0.930176436668262,114,5,"sigmoid","tanh",11.6960567057177,0.0189990934021953,10.7213268624942,0.119508954483579,0.0137358660137324,0.148110508179643,9
"20",45,96,0.0377436931092393,0.0647158558480442,0.0567575106397271,0.650956529309042,0.668705484131351,86,9,"tanh","linear",4.41232094068521,0.19196524815313,3.53075653244959,0.204137147947965,0.0562860102517316,0.168627916301234,13
"21",49,47,0.00477319146470263,0.0101124851033092,0.347930393181741,0.75434420502279,0.543612198205665,420,2,"tanh","sigmoid",11.6960777636191,0.0103616088303491,10.7213499265626,0.119513892068549,0.00963724933996724,0.148115457521452,9
