"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"21",5,95,0.00133384670345044,0.32092503728345,0.882057057693601,0.613660522270948,0.971275842748582,206,1,"sigmoid","tanh",10.1012127028316,0.0363170208375083,8.9588826968989,0.0705896622203073,0.0357102312430385,0.0672646906721046,9
"29",6,7,0.0220318971484224,0.354884964507073,0.956905543338507,0.528248748509213,0.962951679714024,80,7,"tanh","tanh",10.1040200630202,0.0398754344896409,8.96204990978226,0.0705949766123803,0.0338821148116041,0.0672801666300657,9
"31",6,8,9.39760174635194e-05,0.0214959767647088,0.200000165728852,0.666722894529812,0.243719906313345,224,5,"linear","linear",NA,NA,NA,NA,NA,NA,5
"36",7,48,4.70623366028767e-05,0.297983046527952,0.773489363957196,0.857204581028782,0.453318298328668,261,8,"sigmoid","linear",4.66555187254752,NA,4.05529802230597,0.120669380534399,NA,0.116569871850686,9
"37",7,67,0.00834857210922073,0.386615227349103,0.881300271954387,0.594490532879718,0.879818932618946,619,2,"sigmoid","sigmoid",NA,NA,NA,NA,NA,NA,5
"1",11,37,4.95863879985363,0.215743629448116,0.890775251667947,0.838471316848882,0.29712041397579,462,1,"linear","linear",NA,NA,NA,NA,NA,NA,5
"2",14,65,0.410213197374216,0.356798700336367,0.0659855639096349,0.743943508947268,0.750558134634048,227,4,"tanh","sigmoid",10.1259069900594,0.0398618441395273,8.98676155382838,0.0706054843949488,0.0362740158011936,0.0674341701850411,9
"3",14,77,0.00599008602143431,0.272182265482843,0.715619352180511,0.510820946190506,0.245056340005249,362,9,"linear","linear",NA,NA,NA,NA,NA,NA,5
"4",19,21,0.0350989148184732,0.372786164097488,0.249290378764272,0.661797698936425,0.388995793415233,71,4,"linear","linear",NA,NA,NA,NA,NA,NA,5
"5",22,65,0.000752842949240617,0.0821627041324973,0.00671609351411462,0.86353147670161,0.188614523503929,398,6,"sigmoid","linear",2.98901798784899,0.590378579777505,2.37073467224668,0.144387947164733,0.0346815306563162,0.12603388140756,25
"6",26,16,0.0188998849808316,0.12250263299793,0.386402328498662,0.981346435379237,0.829181723296642,317,4,"tanh","sigmoid",10.1024918191764,0.0400261993485923,8.96032861419588,0.070589933392924,0.0348964762616014,0.0672735794252195,9
"7",27,42,0.0882479421338418,0.0915259731933475,0.253707319730893,0.693833189434372,0.0860706504900008,555,1,"linear","sigmoid",NA,NA,NA,NA,NA,NA,5
"8",28,20,0.000610510087952959,0.0750037690624595,0.272911172127351,0.506407812819816,0.694985658396035,71,3,"linear","linear",NA,NA,NA,NA,NA,NA,5
"9",29,35,0.000460961090970515,0.21054524499923,0.187391187762842,0.907249466516078,0.614173091715202,631,8,"sigmoid","sigmoid",NA,NA,NA,NA,NA,NA,5
"10",36,78,0.324216105671849,0.15080179348588,0.152526258025318,0.909793828497641,0.185408797580749,614,9,"tanh","linear",NA,NA,NA,NA,NA,NA,5
"11",37,83,0.00125389458846109,0.146632951311767,0.72133291955106,0.96762338699773,0.230143407359719,406,6,"tanh","linear",3053.2732515558,0.00480099973069531,3053.2524047887,5926.64614913248,0.00609101566229984,5926.65657939008,7
"12",38,52,0.0596925682190289,0.391114072315395,0.672515060985461,0.730465509812348,0.85647060838528,91,8,"linear","sigmoid",10.3609353768546,0.00404971420996849,9.25038990388697,0.131160220236732,0.00108482490206859,0.156830572603158,9
"13",38,55,0.111377481999195,0.147069125529379,1.21637713164091e-05,0.53071805590298,0.999638248234987,216,1,"tanh","sigmoid",10.5362564317494,0.0124151435813153,9.44676870683289,0.0822370349636284,0.0159006550028884,0.0802468950976948,9
"14",43,22,0.00682921398685301,0.0453006680123508,0.515027862275019,0.672916913288645,0.792734840651974,420,6,"linear","sigmoid",10.3486450305263,0.0418449995887128,9.23661044527964,0.129179182947583,0.0379549366109347,0.153663390258569,9
"15",48,2,3.84308282782135,0.246907740086317,0.362890304066241,0.956968345330097,0.904888353543356,597,7,"sigmoid","tanh",NA,NA,NA,NA,NA,NA,5
"16",48,49,0.0063687400470916,0.143694585561752,0.0373235342558473,0.745537316426635,0.618523063370958,197,1,"linear","tanh",10.101183174743,0.0407494663393409,8.9588499939628,0.0705921444166526,0.0362734170445637,0.0672631203520203,9
"17",52,82,0.392369666559889,0.174799497518688,0.735760648269206,0.73218558949884,0.110689890570939,524,1,"sigmoid","sigmoid",NA,NA,NA,NA,NA,NA,5
"18",55,77,1.20446420939709e-05,0.119986917451024,0.423488751286641,0.586522306548432,0.27994720521383,216,5,"linear","tanh",10.9005774159365,NA,9.84771990872408,0.427791926822773,NA,0.513458261772106,9
"19",56,68,0.000122352019505413,0.17667457126081,0.502082725754008,0.702393321553245,0.786650966620073,407,6,"tanh","linear",80.7686145882121,0.433197578300027,80.4850488520662,93.2941623850474,0.226503767477838,93.4675155585324,8
"20",57,74,0.000184406673718703,0.0570301975123584,0.782424974022433,0.915445634513162,0.0062508131377399,425,5,"tanh","tanh",10.347349847452,0.00129257072351768,9.23383101983519,0.290340544826617,0.000798968540885252,0.328672423682266,9
"22",60,46,8.46284186336136e-05,0.047361814789474,0.877848556498066,0.90385417919606,0.401193726575002,285,10,"sigmoid","linear",174406.48928975,0.0140876934449531,174406.489050666,300308.080994416,0.00818332492215956,300308.081118208,6
"23",60,52,0.00642371196997348,0.322237876150757,0.403978934744373,0.647959712427109,0.729712329804897,285,6,"sigmoid","linear",19.2841548337224,0.645008400380521,18.755348301138,46.2215783079441,0.05614704007486,46.421058381974,8
"24",61,13,4.06028771319568e-05,0.260925563890487,0.736878188792616,0.7941798112588,0.0814325583633035,314,5,"linear","tanh",10.8573427972443,NA,9.80327546427963,0.277843493926135,NA,0.286527350783798,9
"25",61,72,2.42639597186888,0.0153523658402264,0.586962593253702,0.559491816326044,0.247412297409028,188,9,"linear","tanh",10.2872443664206,0.0418773611543921,9.16783503234828,0.202180882295322,0.0354348567636959,0.220918637117745,9
"26",64,50,5.97763857104355e-05,0.0934249852783978,0.778794232057407,0.982692850753665,0.23552853660658,481,10,"tanh","tanh",10.4979529629571,0.0121857140484606,9.40310185322778,0.31615348451356,0.0160224765225578,0.357444433818638,9
"27",65,58,0.00940338968549121,0.00258079534396529,0.758907997515053,0.541146309464239,0.0314035294577479,243,4,"sigmoid","tanh",10.1012577848388,0.022410173101961,8.95893359586151,0.070594090893006,0.0361350761319023,0.0672581076058031,9
"28",66,89,2.01702561953844,0.0048725831322372,0.204245208529755,0.605325913405977,0.0614524006377906,378,9,"linear","sigmoid",10.1207363078024,0.0401023696479332,8.98105575361465,0.070760588966048,0.0360225394351046,0.0676693115265247,9
"30",67,99,0.305985118743655,0.011692776158452,0.823579262476414,0.60772295249626,0.38036126201041,193,7,"sigmoid","sigmoid",10.106707680517,0.0392061780368407,8.96507796222238,0.0705870938018531,0.0355692821112934,0.0672580904712071,9
"32",70,15,0.000818381246407058,0.207363751810044,0.780707011697814,0.981806612107903,0.235203728079796,171,6,"sigmoid","sigmoid",10.1012240690757,0.0388835137227296,8.95889548763889,0.0705825949482769,0.0387468371440554,0.0672649066596587,9
"33",70,18,1.77424618006776,0.2343391017057,0.891264274017885,0.776652505155653,0.349348372314125,488,10,"linear","tanh",10.2604199469494,0.00737677658537244,9.13663842517544,0.262909852693118,0.000534255172066777,0.311182829727397,9
"34",71,22,1.03840152698534e-05,0.217323164083064,0.0811273693107069,0.866650143871084,0.503178462618962,460,2,"sigmoid","tanh",10.1011676680659,0.0390423304114808,8.95883191639066,0.0705897765335653,0.0360448293767581,0.0672647523093624,9
