"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"12",2,95,0.00067073641579599,0.390914534963667,0.0632700868882239,0.842300000600517,0.78771063638851,625,4,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"24",4,80,0.0507923858649817,0.180900280550122,0.356709744781256,0.803464225376956,0.343707837164402,527,3,"linear","linear",NA,NA,NA,NA,NA,NA,5
"29",5,76,0.602980221620168,0.0658009656704962,0.449450605316088,0.955228002741933,0.917628727620468,412,6,"linear","tanh",8.63188439512365,0.0128248686386807,5.30260967796278,0.129220735789039,0.0101456378260546,0.128442894563433,9
"1",10,45,0.107790777969546,0.0187416705302894,0.162911577615887,0.866541025461629,0.279287899844348,415,8,"sigmoid","tanh",8.59100892169895,0.014498446028869,5.24310531566699,0.0691289904277318,0.0138258229248548,0.0321718442252779,9
"2",14,84,0.750243079922695,0.371849648095667,0.80330755491741,0.903023010934703,0.0360306145157665,628,6,"linear","linear",NA,NA,NA,NA,NA,NA,5
"3",17,28,0.000155451766788498,0.292765014059842,0.137839963193983,0.742638340685517,0.511144243879244,154,8,"linear","linear",NA,NA,NA,NA,NA,NA,5
"4",19,9,0.78117018341374,0.158499506860971,0.718454831512645,0.805747315986082,0.0361360837705433,412,9,"sigmoid","sigmoid",8.64245759775294,0.00652640904071221,5.31447845198691,0.0699252682799616,0.00766617627989059,0.0362697266286261,9
"5",23,74,0.000219066965858827,0.209077566955239,0.242086218902841,0.989431861555204,0.833212264580652,183,9,"linear","sigmoid",8.92220301374976,0.0021378041471314,5.71072052764312,0.131454058929649,0.000658049130504266,0.154885900074844,9
"6",25,60,0.00111322753024335,0.218040922097862,0.640277872094885,0.725700079230592,0.846238747937605,72,10,"sigmoid","tanh",8.58600874262208,0.0154936666470612,5.23623885709497,0.0690883272289693,0.0148753166296699,0.0319164467686245,9
"7",27,13,0.0858331882877848,0.0228125235065818,0.190534372581169,0.905735112493858,0.601750333094969,605,10,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"8",27,15,0.0895803977691177,0.388169532828033,0.555474387248978,0.945422368356958,0.904066718416288,217,8,"sigmoid","linear",7.3457033445826,0.0309424666911129,5.57657493669342,0.388185401314285,0.0382260332057879,0.414679397951057,9
"9",27,22,0.161850730626216,0.199425940029323,0.673065358074382,0.652049113530666,0.844866341445595,340,5,"sigmoid","tanh",8.59533728822935,0.0142734866279277,5.24904310963973,0.0691496953024029,0.013435800020489,0.0323272480490731,9
"10",28,34,2.93269583233487e-05,0.171883445512503,0.236830829642713,0.584526781691238,0.511123439064249,151,5,"sigmoid","tanh",8.58595467955943,0.0142684269673471,5.23616442972229,0.0690868894017583,0.0139149025854389,0.0319134938909857,9
"11",28,63,0.000124932080655914,0.113597384281456,0.630860641598701,0.566807197057642,0.949230743339285,486,6,"tanh","linear",47.6303235008882,0.00517774131959815,46.8440672753137,35.4377050740069,0.00586070879519661,35.8675764785134,8
"13",30,11,0.00255856486342464,0.174463604390621,0.978091742144898,0.633508800528944,0.801786226918921,358,6,"sigmoid","sigmoid",8.58620903186013,0.0142238880036095,5.23651407711042,0.0690949549226316,0.0134577227360565,0.0319361016337585,9
"14",34,63,0.742189351889377,0.187005105987191,0.289693109691143,0.940082389512099,0.257634465349838,434,5,"tanh","tanh",8.62773750116333,0.0140938490632309,5.29387627378032,0.0681935160375641,0.0135704110167516,0.0319596000946757,9
"15",35,23,2.42551534848678e-05,0.0679302126169205,0.561740636592731,0.505757986567914,0.800543754594401,593,5,"linear","sigmoid",NA,NA,NA,NA,NA,NA,5
"16",35,77,0.0157033400181194,0.239300433825701,0.562518784543499,0.543625275138766,0.492291744565591,145,6,"tanh","tanh",8.67700010036187,0.0127519105248286,5.36645719565735,0.139071295762811,0.0121269772912847,0.165359428967618,9
"17",37,46,0.0330117806702356,0.322749440744519,0.419627596391365,0.789722640765831,0.805450283922255,400,6,"sigmoid","sigmoid",8.58738164853826,0.0148782035069857,5.23812561772348,0.0690957565196993,0.0141702151533751,0.0319791240444216,9
"18",38,41,0.00142370213115541,0.31527450857684,0.0474658987950534,0.589814245235175,0.394541393965483,362,4,"tanh","tanh",8.58603981265279,0.0135736264232067,5.2362819672846,0.0690882952804196,0.0128080661834203,0.0319179245257732,9
"19",39,63,4.80866706837544,0.371759026497603,0.917695418233052,0.82282695278991,0.84074708330445,561,10,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"20",39,66,0.638975488249749,0.199504935741425,0.922217283165082,0.56950925826095,0.736246712040156,162,7,"sigmoid","tanh",8.60294526653474,0.0109595437988744,5.2594634491,0.0691251978387315,0.0111367441629133,0.0327254469945995,9
"21",40,61,0.000346175325868761,0.175317177269608,0.0415008109994233,0.856414365465753,0.866614442551509,281,7,"linear","sigmoid",8.58595540476747,0.0127520909744728,5.2361655117247,0.0690870115827989,0.0109709155872515,0.0319135367875737,9
"22",43,22,6.83930549204867e-05,0.350662561319768,0.67145554185845,0.635429819463752,0.729878841433674,221,7,"sigmoid","sigmoid",8.58595798943708,0.0138015089163067,5.23616900596672,0.0690867778700935,0.0135072970554948,0.0319135753085552,9
"23",43,31,0.00146288943953975,0.135679946746677,0.974982568761334,0.918008187087253,0.0223469203338027,371,9,"sigmoid","tanh",8.58595872247828,0.00963682374166983,5.23617021115677,0.0690881410053362,0.00891192053229453,0.0319096868629308,9
"25",48,79,5.43149207116036e-05,0.0579667004756629,0.0632326684426516,0.936557878740132,0.631742412457243,162,4,"sigmoid","sigmoid",8.5859548623251,0.0151207752911037,5.23616467721498,0.0690869442899512,0.0153602132606515,0.0319135260561781,9
"26",49,68,0.00149180416357088,0.195203794445843,0.76926084049046,0.522101559559815,0.104255985468626,73,7,"sigmoid","linear",1060890718931.05,0.0663517952823769,1060890718931.05,2356984597380.81,NA,2356984597380.81,5
"27",51,49,0.0912541888130703,0.268557791039348,0.530301182065159,0.516932348720729,0.865145288873464,136,7,"linear","tanh",8.90089900196502,0.00843952363961941,5.67896555850083,0.166542510694267,0.00795524764671755,0.249566208167382,9
"28",53,77,0.030595934187755,0.306485630944371,0.49573911097832,0.997773840557784,0.198740626685321,226,7,"linear","tanh",9.21548307148874,0.010194072062593,6.13047129929634,0.293798605985428,0.00306246820119986,0.412343749394535,9
"30",58,53,0.00107705715644941,0.274290067516267,0.380485031288117,0.707520598196425,0.205878188367933,107,6,"sigmoid","sigmoid",8.5859988696843,0.012882945143197,5.23622537441005,0.0690878182067352,0.0118118275101235,0.0319192010610114,9
"31",60,67,0.160120653427288,0.161350610107183,0.861280499026179,0.680064679705538,0.290129120694473,442,5,"tanh","linear",36.2617785170515,0.0276082275506792,35.2932455540365,45.2350796989557,0.0383010001548117,45.7046608341169,8
"32",63,74,0.00111440769704868,0.229388092271984,0.29900572123006,0.671779880532995,0.666770549491048,141,9,"sigmoid","linear",184.884389692122,0.039631949813985,184.112246367088,316.438643754711,0.0470372151912838,316.888814967498,7
"33",67,78,0.00348674587299646,0.201070943567902,0.638897223165259,0.799271637923084,0.180095698451623,259,6,"sigmoid","linear",5847970881.93751,0.0090513837504086,5847970881.93751,13442605221.5637,0.00906641353284004,13442605221.5637,6
"34",68,3,0.000487291497200598,0.273677904810756,0.111499448539689,0.613159612286836,0.190790029941127,215,3,"linear","tanh",8.96694294077716,0.0102343176904991,5.78005712994257,0.474388096881835,0.0061055726243253,0.66939323270064,9
"35",70,27,0.0303258047272238,0.251190591230989,0.752878779079765,0.599564383155666,0.428685198770836,154,6,"linear","sigmoid",8.78918581008529,NA,5.51840625276601,0.0745470267663977,NA,0.0966015058908847,9
"36",71,81,4.85708623291749,0.111768582649529,0.0428266038652509,0.980415933998302,0.53667964367196,584,10,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"37",74,31,0.00482971901755784,0.181980771478266,0.907482421491295,0.634178208652884,0.410903085488826,168,10,"tanh","linear",9.13300346242001,0.0143143380422847,8.08449579532521,2.18924912654053,0.0203170934201078,2.13579657909157,9
"38",75,67,3.01614052944238e-05,0.175574516411871,0.316003659274429,0.908480551443063,0.0555643236730248,298,9,"tanh","tanh",8.8128510613055,0.0235065022722318,5.5580173829775,0.218856360901181,0.0306827859139726,0.288850684740201,9
"39",76,65,0.0065570591052027,0.269237765204161,0.503618217771873,0.673673013341613,0.622468139743432,199,5,"tanh","tanh",8.61317032638448,0.00990704805531765,5.2738605939846,0.131901954115645,0.00919600685489996,0.13526990224393,9
"40",78,52,4.53237521764323e-05,0.0679701585322618,0.879508150974289,0.970842450275086,0.651559249265119,555,4,"sigmoid","linear",NA,NA,NA,NA,NA,NA,5
"41",78,62,2.8042881778659e-05,0.141765950620174,0.842880474403501,0.85747865063604,0.130643984535709,475,8,"tanh","tanh",8.77355452117527,0.0159416836629323,5.49754919675587,0.150917219449885,0.0170290677676877,0.210167796880683,9
"42",81,61,1.98591665707504e-05,0.12989826798439,0.664129266981035,0.877758764079772,0.190946162445471,281,10,"sigmoid","tanh",8.58595300629015,0.0122544459604253,5.23616211549321,0.0690868876605072,0.0109546296018642,0.0319134457294286,9
"43",82,98,0.000468590213743506,0.344984684232622,0.850456052459776,0.887349305208772,0.291841463185847,72,3,"sigmoid","sigmoid",8.58595518703619,0.00439216839423952,5.23616537329946,0.0690880737680857,0.00387418709986454,0.0319136374423944,9
