"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"12",2,38,0.00228567816098086,0.0985452403314412,0.0464978176169097,0.632331157103181,0.995169778354466,129,8,"sigmoid","tanh",10.289345558304,0.0271741377989063,9.2481807499969,0.0523014790662428,0.018954396448865,0.0778404419947206,9
"18",4,23,0.000199561915864097,0.14218784077093,0.45496576349251,0.936817178037018,0.0781060971785337,413,4,"tanh","linear",83.4006752651793,0.122568481979367,82.9795014715014,170.33637899925,0.173328926302466,170.536297618759,8
"23",5,0,2.54617365129384,0.374585145153105,0.168200131272897,0.544321066816337,0.589834813261405,356,8,"linear","sigmoid",NA,NA,NA,NA,NA,NA,5
"1",10,5,0.00370562752366048,0.356384683866054,0.72147363750264,0.996674185502343,0.0378177550155669,139,3,"sigmoid","sigmoid",10.3418921115541,NA,9.30646615897175,0.143737156807993,NA,0.164159026041978,9
"2",12,21,0.0477564886402313,0.0425708855502307,0.454366260673851,0.80639258143492,0.599499490344897,159,4,"sigmoid","sigmoid",10.2920350380989,0.026946840492968,9.251174127174,0.0523024528635867,0.019044075453313,0.07784158049462,9
"3",13,19,0.395714974451487,0.336805695760995,0.446093508508056,0.89422342996113,0.46044549276121,553,9,"linear","tanh",NA,NA,NA,NA,NA,NA,5
"4",13,80,5.79481341906559e-05,0.113019265700132,0.221510198200122,0.81963847996667,0.938599686836824,494,4,"tanh","linear",11.8487689009457,0.0637484106441128,11.0070346836941,8.95198823820972,0.0865852126048836,9.18116640017506,9
"5",15,23,0.127750734409741,0.107297553587705,0.271288129035383,0.673228152212687,0.0478823445737362,67,4,"linear","tanh",10.8829554441754,0.00216405041922138,9.90251133049576,0.252262322227769,0.00181718424514027,0.270185102222108,9
"6",16,52,0.146912608048804,0.205340137518942,0.561165267135948,0.87977960833814,0.355711730429903,179,4,"sigmoid","linear",4.31355736022818,0.559658336513568,3.67208476568411,0.407689983388437,0.10135152168838,0.362212200974478,9
"7",16,54,0.00139646721561715,0.166686541493982,0.963996707694605,0.533706618589349,0.265686763217673,352,3,"tanh","sigmoid",10.2892293107635,0.0301906452494589,9.24805146494939,0.0522936113704003,0.0241185771465639,0.077835537521957,9
"8",18,10,0.0096527507257803,0.312516431789845,0.238369152648374,0.721984511357732,0.199322267435491,237,5,"tanh","linear",2.89899962591986,0.61273045876372,2.31575242300827,0.157177551850214,0.0333984498943722,0.164063437343021,25
