"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"19",4,61,2.8791903936117e-05,0.278988234512508,0.0497222098056227,0.504097672412172,0.214999186107889,278,8,"sigmoid","tanh",8.44125019100966,0.0160505940978545,4.99853145656325,0.0625954465609647,0.0174433896882087,0.0317748198806877,7
"28",5,53,0.00519745908518206,0.123313259333372,0.10792090347968,0.785335005726665,0.292244365438819,573,7,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"29",5,56,9.44265240589119,0.181757108401507,0.482662091497332,0.970063571701758,0.335488032083958,114,2,"linear","sigmoid",8.71811690449458,0.0192171182490305,5.40235961792501,0.063707425956844,0.0189388400455637,0.0381692669342093,7
"43",8,82,0.0182253936001366,0.314043458458036,0.074338934617117,0.716357097029686,0.431059333030134,220,6,"tanh","linear",7.38194822218009,0.0403362890616312,5.2537830111452,0.281953824550618,0.0269707956805352,0.256160384189856,25
"45",9,2,0.000150782971334824,0.287097580544651,0.877901920583099,0.565035564242862,0.0162100598681718,140,4,"sigmoid","sigmoid",8.44129884272029,0.012876322226827,4.99860213807696,0.0625952993592448,0.02084165229058,0.0317757202526227,7
"47",9,42,0.538556493482372,0.398912137653679,0.963761123130098,0.646277891588397,0.0941294564399868,248,4,"sigmoid","sigmoid",8.46018487239676,0.00224756412190486,5.02597326040365,0.063087607329582,0.00288197444358011,0.0330649409903795,7
"2",13,65,1.07373763862535,0.0281622716225684,0.755559911718592,0.692694619763643,0.0778157024178654,551,10,"linear","linear",NA,NA,NA,NA,NA,NA,5
"4",15,5,2.32479663404559e-05,0.387385630235076,0.554105512099341,0.963742881198414,0.604352676542476,181,2,"sigmoid","tanh",8.44125392711834,0.0169540681865532,4.99853688513021,0.0625956275122379,0.018972999421919,0.031775072849725,7
"3",15,40,0.00860806591676437,0.341975813359022,0.483886883128434,0.858115826849826,0.897782960440964,595,5,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"5",17,45,7.50835564282631,0.251722427364439,0.981701877899468,0.763995487592183,0.379039132967591,193,3,"sigmoid","sigmoid",8.56294918148407,0.00807388770830384,5.17831218388348,0.064476873608869,0.0107239560151908,0.03614041820366,7
"6",17,98,0.0239578759752312,0.143842687644064,0.278360440395772,0.559664013329893,0.148326514521614,520,2,"tanh","tanh",NA,NA,NA,NA,NA,NA,5
"7",20,12,0.00836629844617392,0.31830296413973,0.280675679445267,0.885652117314748,0.204473956022412,560,10,"linear","tanh",NA,NA,NA,NA,NA,NA,5
"8",22,6,0.000219242931256709,0.149139484483749,0.617209960473701,0.907897032564506,0.875903489999473,387,4,"linear","sigmoid",8.74080234669296,0.0096985590808617,5.4358684606511,0.116210248502948,NA,0.17716518356827,7
"9",23,56,0.00392911770585336,0.0795582714490592,0.629017671104521,0.989873430458829,0.0175411326345056,91,10,"linear","sigmoid",8.73942731933187,0.0101353217429261,5.43424513065328,0.0692517647629481,0.00893730665364601,0.0959271913552154,7
"10",35,47,0.0436856955563736,0.216166021488607,0.217453866731375,0.924647761159576,0.674621903104708,595,10,"sigmoid","linear",NA,NA,NA,NA,NA,NA,5
"11",35,53,0.00682984414954769,0.180030471552163,0.672098218696192,0.549947669846006,0.163217390887439,509,2,"linear","sigmoid",8.74169655408471,NA,5.43211493030653,0.169441799958789,NA,0.252555586543071,7
"12",36,35,0.0722712298627809,0.13426280990243,0.799962855875492,0.722132658120245,0.50803003157489,225,1,"tanh","tanh",8.44520767994116,0.0131873731168254,5.00431968573883,0.0626315564309221,0.0156117998212944,0.0318068389610145,7
"13",36,78,0.00181111466187626,0.0479957463219762,0.274395331274718,0.614921793807298,0.761096022557467,330,10,"tanh","sigmoid",8.44134311483729,0.015172023887859,4.99866762491268,0.062597232451727,0.0165769942745714,0.0317776662782701,7
"14",36,99,6.70063689914041,0.331558155547828,0.0400606617331505,0.609923213371076,0.959374522324651,443,5,"tanh","tanh",8.92687484608382,0.00575438857042321,5.70548100519702,0.0644557711652956,0.00573502620907935,0.0452742509350754,7
"15",38,89,0.00209328065038625,0.346486132498831,0.777119916398078,0.573544358252548,0.482437521219254,181,9,"sigmoid","sigmoid",8.44131787829371,0.0156607241455092,4.99862998106774,0.0625924091414198,0.0174193956097826,0.0317703069084416,7
"16",41,53,0.106551085336069,0.0202107956632972,0.385765187209472,0.946537557290867,0.532129263272509,538,7,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"17",42,83,0.000103209439930954,0.369269738718867,0.925918499007821,0.827963958261535,0.821864269673824,628,4,"sigmoid","sigmoid",NA,NA,NA,NA,NA,NA,5
"18",43,98,0.00274537812278702,0.312334793619812,0.186622638721019,0.528998099500313,0.0545691449660808,348,5,"tanh","linear",17.0279667181835,0.0161000374466886,16.2556123830555,17.5239117000926,0.0165161967933485,17.6236118591216,6
