"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"23",4,5,1.02040265666306e-05,0.387685932312161,0.476071161217988,0.821326227509417,0.518036343855783,414,7,"tanh","sigmoid",9.59716679051891,0.0189964039278843,9.48838642025727,0.0862729069152955,0.0191071011766449,0.0860793451578546,7
"36",6,59,1.96312873963667,0.00966859953477979,0.121448088204488,0.996471038088202,0.418553625000641,217,10,"sigmoid","linear",1.71705871175487,0.011139274109581,1.42442678534812,0.0556048126744366,0.0155953188435377,0.0488319510668619,8
"44",8,2,0.00338499998922216,0.182464328128844,0.444472823292017,0.725290293805301,0.509868677007034,485,9,"linear","sigmoid",9.74518073294697,0.0191633292978858,9.63805213842613,0.125375529021312,0.0190519119674921,0.126933988457736,7
"1",11,49,0.0544511631667977,0.36485568434,0.0534351079259068,0.755620830692351,0.716323684202507,421,10,"tanh","tanh",9.56071042609617,0.0185538664824369,9.45151364833697,0.030814167584304,0.0198305491336334,0.0295046163231471,7
"2",12,26,0.428199319567078,0.291022428683937,0.36710422555916,0.58574252773542,0.784126856829971,204,3,"sigmoid","linear",1.46529660526864,0.0847609609779185,1.21433826112177,0.0499388239504925,0.0618453737193181,0.0385325560456972,10
"3",12,89,1.43241211980916,0.323508783895522,0.965249876491725,0.581051662098616,0.255514475516975,331,5,"tanh","linear",502.362563778109,0.0233323940031305,502.039801300311,543.289341102607,0.0249831777434967,543.528343283014,6
"4",14,34,0.124410552607876,0.358868946414441,0.122674822574481,0.985671735368669,0.470344798406586,143,2,"sigmoid","sigmoid",9.56261636144421,0.0174558947234885,9.45344066636999,0.0307977110816743,0.0209754632579325,0.0294962861326615,7
"5",14,37,0.00012269595892077,0.133060029521585,0.517379153752699,0.883810908882879,0.798015805892646,186,7,"sigmoid","tanh",9.55681479280469,0.018551422169327,9.44757189139732,0.0308155449769854,0.0214382147418686,0.0295042531207036,7
"6",14,67,0.142624042240262,0.351305806264281,0.811368411639705,0.709889988880605,0.263564934255555,615,4,"sigmoid","tanh",NA,NA,NA,NA,NA,NA,5
"7",14,82,6.23705521258684,0.255703148897737,0.20753138884902,0.738636424997821,0.460552946664393,505,5,"sigmoid","sigmoid",9.63618477136258,0.00912729836333537,9.52785182488079,0.0308062913941457,0.0148753243941605,0.0295385798809427,7
"8",15,80,0.000222714194000652,0.0248847533017397,0.130920555442572,0.720477087073959,0.894292762503028,117,10,"tanh","tanh",9.55682500957047,0.0222519070946265,9.44758223067613,0.0308156634781954,0.0259850323771753,0.0295043830955304,7
"9",18,21,0.91652934564988,0.00393199874088168,0.466370959766209,0.971087088924833,0.0930218696594238,572,10,"tanh","linear",NA,NA,NA,NA,NA,NA,5
"10",24,49,7.73237171457782e-05,0.0670914552174509,0.646592362551019,0.510573543491773,0.716603713110089,506,10,"tanh","linear",42.4075659729281,0.130087942465369,42.3272813543889,41.8736240066659,0.13426458235323,41.9402010322136,7
"11",25,39,0.0217411691121079,0.149149537365884,0.501981142209843,0.778244099928997,0.451822672970593,531,3,"tanh","linear",NA,NA,NA,NA,NA,NA,5
"12",27,41,0.0837899830298292,0.350102158915252,0.504483445547521,0.501455257297494,0.884536432335153,599,8,"linear","tanh",NA,NA,NA,NA,NA,NA,5
"13",29,52,1.10533949737251e-05,0.069728234410286,0.862638143124059,0.623775210464373,0.58101042243652,114,9,"tanh","tanh",9.6824399369175,0.0185974953062447,9.57455236827068,0.166100345934864,0.0201346039008994,0.171041687342816,7
"14",31,57,0.00727597030014121,0.29996057972312,0.873096614843234,0.624902022304013,0.717405121773481,581,10,"linear","linear",NA,NA,NA,NA,NA,NA,5
"15",34,49,0.339256998151782,0.0725902245379984,0.359023022232577,0.975553802680224,0.928720648866147,493,3,"linear","tanh",9.83929854297591,NA,9.73328206277472,0.372383107995015,NA,0.370583507021462,7
"16",34,49,0.438750421037739,0.0666844399645925,0.222144857048988,0.534008417394944,0.435095412191004,586,9,"tanh","linear",NA,NA,NA,NA,NA,NA,5
"17",36,35,1.24154957852395e-05,0.369858585204929,0.610309358686209,0.94158296007663,0.457448164233938,635,4,"sigmoid","tanh",NA,NA,NA,NA,NA,NA,5
"18",36,49,0.00105981408577476,0.267521671485156,0.545714020729065,0.635328750591725,0.825403637718409,632,9,"tanh","sigmoid",NA,NA,NA,NA,NA,NA,5
"19",38,94,0.017588277888214,0.352088885568082,0.183526861248538,0.80304866831284,0.818775734864175,421,7,"linear","linear",NA,NA,NA,NA,NA,NA,5
"20",41,10,0.632309154496004,0.291516810655594,0.377424547448754,0.870068346033804,0.373338153352961,88,2,"tanh","sigmoid",9.59878278391244,0.0170457022072187,9.49003239004215,0.0324747983413698,0.0254916327351248,0.0313733544181845,7
"21",42,56,0.0486731067370512,0.0147696978412569,0.5553441317752,0.884242746629752,0.165306652663276,85,4,"sigmoid","tanh",9.55859047874221,0.0181139828450309,9.44936820676699,0.0308054014305519,0.0204955874001433,0.0294963579928531,7
"22",43,40,1.58409677333574e-05,0.179664441943169,0.719444135902449,0.735629822011106,0.277428248431534,573,9,"sigmoid","linear",NA,NA,NA,NA,NA,NA,5
"24",51,95,0.000340707114979886,0.395397785119712,0.947311969473958,0.50940830889158,0.64628242328763,378,4,"sigmoid","linear",555630257.348015,0.137626516285192,555630257.34767,1061965357.34314,0.136130420222213,1061965357.34337,5
"25",52,42,0.000276627568741953,0.114809954538941,0.254526179516688,0.732090877252631,0.220938736572862,271,1,"tanh","tanh",9.55682052514296,0.00864124131123808,9.44757769081983,0.0308137032219664,0.0120248347562738,0.0295028988882545,7
"26",53,10,0.000110632168404769,0.167346517555416,0.0620519523508847,0.771066383691505,0.578989999368787,346,1,"tanh","tanh",9.55682491483476,0.0188013392002506,9.44758213515676,0.0308156524103668,0.0198846412724247,0.0295043996194092,7
"27",54,1,0.000178382041040539,0.192337349057198,0.592592770932242,0.652428073808551,0.509220716310665,408,5,"sigmoid","sigmoid",9.5568985300304,0.0158278326621235,9.44765659812807,0.0308152985010734,0.0204248066544947,0.0295037801028627,7
"28",54,70,0.000376645928518806,0.365832979418337,0.234560330864042,0.792775858426467,0.799463414819911,370,4,"tanh","linear",9.24483199888945,0.266603432918892,9.08489163366177,12.3981191808082,0.0530940827755251,12.4884780222025,7
"29",55,31,0.00520008030905314,0.0748319675214589,0.454347072634846,0.995642455178313,0.880912329535931,186,6,"tanh","sigmoid",9.58050362608104,0.0213302781917638,9.47149767737184,0.0710722836986922,0.027180237233401,0.0759548622594121,7
"30",56,80,0.165213777969415,0.0821596907451749,0.189231181750074,0.551733055966906,0.462773496750742,74,3,"linear","sigmoid",9.55822079735923,0.0192371582236176,9.44899756653355,0.0307901666688704,0.0201068229488788,0.0294426822093265,7
"31",57,67,0.00051322897267488,0.368369602970779,0.234261691570282,0.623767794691958,0.696750714210793,396,6,"tanh","sigmoid",9.5568238332634,0.0173290208581877,9.44758104087449,0.0308147557973719,0.0194954053993265,0.0295038082643362,7
"32",58,34,0.155407633227548,0.00387621494010091,0.465630989288911,0.822320289560594,0.500068303197622,448,8,"tanh","linear",1.40498031489085,0.304611618192865,1.16041082143031,0.0889948822802664,0.0740992869684436,0.0688402281732222,25
"33",62,49,5.53226238493922,0.175372637901455,0.877402760321274,0.700636210967787,0.0375056709162891,557,6,"sigmoid","tanh",NA,NA,NA,NA,NA,NA,5
"34",62,76,0.000177106620429341,0.0163343106396496,0.295886422041804,0.764301843126304,0.801322024548426,461,7,"tanh","tanh",9.55681086400686,0.00628279941132479,9.44756791723047,0.0308157595164197,0.00710757489984912,0.029504457135402,7
"35",64,9,0.00362727169329823,0.116139288526028,0.68539329781197,0.574758157483302,0.490055775502697,551,9,"linear","sigmoid",NA,NA,NA,NA,NA,NA,5
"37",66,66,0.00951060918062703,0.319673887360841,0.48633773997426,0.85791961720679,0.341283451067284,73,1,"sigmoid","tanh",9.55713485083061,0.0187485700687435,9.44789569024906,0.0308004617418241,0.0195601637856474,0.0294858929291069,7
"38",67,57,8.67027140329246e-05,0.131464039441198,0.349980439292267,0.672992123290896,0.921393239172176,424,8,"linear","linear",NA,NA,NA,NA,NA,NA,5
"39",68,85,5.05683657160389,0.160152943432331,0.485442562028766,0.993302791379392,0.453945168759674,452,2,"linear","linear",NA,NA,NA,NA,NA,NA,5
"40",69,99,0.0332858545285221,0.298415740393102,0.502362018218264,0.641087082331069,0.68261523055844,168,10,"linear","linear",NA,NA,NA,NA,NA,NA,5
"41",69,99,4.56122555558592,0.012736039608717,0.298950597411022,0.908341309288517,0.871181396767497,490,2,"linear","linear",NA,NA,NA,NA,NA,NA,5
"42",76,20,0.00287030969020092,0.33885315163061,0.71153385960497,0.663233052473515,0.900210730498657,354,8,"tanh","sigmoid",9.59214731198393,0.0100321904883069,9.48332751566024,0.0489818940795014,0.0114682104171457,0.0443210375713867,7
"43",78,28,1.17505850163046,0.329195791389793,0.693095153663307,0.908523486694321,0.709916192572564,299,6,"tanh","sigmoid",9.61030137418173,0.0184263167821796,9.50169866190975,0.032613662528878,0.0190991087156204,0.0310633468498057,7
"45",83,30,0.00053506004580545,0.112251309398562,0.0155528280884027,0.882611893466674,0.0701133303809911,320,7,"linear","linear",NA,NA,NA,NA,NA,NA,5
"46",84,2,6.50255033575222,0.235386431775987,0.889200556091964,0.923002750729211,0.984777466859668,195,6,"linear","linear",NA,NA,NA,NA,NA,NA,5
"47",84,93,1.43106738198852,0.24802632490173,0.642384955892339,0.735557264531963,0.470603313529864,247,10,"sigmoid","sigmoid",9.57918489980809,0.00947657051703733,9.47020007113333,0.0309535810741175,0.00929322086105942,0.02964368894974,7
"48",90,80,0.000357478927236541,0.135023448895663,0.212937598116696,0.890562199638225,0.506916877347976,492,9,"tanh","sigmoid",9.61960078427777,0.0117088512116038,9.51106719626921,0.1000108357377,0.0079682492856743,0.100927917406363,7
"49",94,75,0.01164197309365,0.214719202369452,0.277716968208551,0.538740692427382,0.181106976466253,72,7,"linear","linear",NA,NA,NA,NA,NA,NA,5
"50",98,82,0.835009887224096,0.399109034705907,0.302070299396291,0.64379712077789,0.0728813020978123,123,1,"tanh","linear",1.92155280910443,0.00520027259537747,1.60192108307838,0.393726532261455,0.0055475470397515,0.344108873674491,8
