"","units1","units2","l2reg","lambda","learn_rate","momentum","gamma","minibatchsz","repeats","activation1","activation2","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD",".B"
"12",3,29,1.22125243415724e-05,0.226085370592773,0.104572621406987,0.532698092167266,0.278771959245205,178,6,"linear","tanh",9.97802230727777,0.0267184359565206,8.96535470406203,0.189102858811041,0.0267635982424154,0.198017347196777,8
"19",5,10,0.361539336507151,0.374966007564217,0.879841132089496,0.987779540824704,0.498550051357597,397,1,"linear","tanh",10.7743902503879,NA,9.81804234750406,0.979390564972329,NA,1.04176739691952,8
"28",6,19,3.46750798454864e-05,0.33623521020636,0.0532217193394899,0.890008297166787,0.996417083777487,484,10,"tanh","sigmoid",9.86600080246405,0.0239839621185403,8.84491643942226,0.113439795811559,0.0249215259938766,0.0808162438671297,8
"46",8,7,0.0289211346226562,0.128950685076416,0.569726562593132,0.61226633109618,0.945358497556299,377,7,"tanh","linear",3.03022067649625,0.545539952952289,2.41251934956418,0.176637015041156,0.0507328942527888,0.136484216408525,25
"44",8,23,0.00134815117595427,0.275156528223306,0.169425288913772,0.5980077420827,0.370552658569068,534,1,"linear","tanh",NA,NA,NA,NA,NA,NA,5
"47",9,10,0.0532787251763542,0.185610956605524,0.772678221343085,0.503210936905816,0.263463323703036,618,9,"sigmoid","tanh",NA,NA,NA,NA,NA,NA,5
"1",10,76,0.000140327550042608,0.328345415182412,0.128725848626345,0.755076347035356,0.128727246075869,588,10,"sigmoid","linear",NA,NA,NA,NA,NA,NA,5
"2",12,94,0.000111734280622747,0.0910364095121622,0.832614565035328,0.875287542352453,0.387703291373327,358,9,"linear","sigmoid",10.35186272424,NA,9.3690004635861,0.201569822044206,NA,0.18868643927629,8
"3",18,77,0.00521502450203334,0.165348684228957,0.654882532544434,0.544195469352417,0.203952197451144,120,1,"tanh","sigmoid",9.86626414036905,0.0112976903509721,8.84520398646631,0.113465998175597,0.00333783314433431,0.0807891682445507,8
"4",19,24,0.000186784248564909,0.338920179195702,0.0126523124054074,0.592828404274769,0.847289125435054,375,9,"tanh","tanh",9.86757225824884,0.0191990318170884,8.84661902863013,0.113440292649005,0.022486524665971,0.0809169380902373,8
"5",22,30,0.129778958925659,0.385675351228565,0.0485551140736789,0.799076051567681,0.997873178916052,257,1,"linear","tanh",9.86670700688814,0.0250042622425026,8.84569009754208,0.113464029069086,0.025014950891445,0.0808557052300887,8
"6",22,88,0.00302858329681807,0.180021445080638,0.252466080710292,0.705011173384264,0.330483107129112,453,9,"sigmoid","linear",46.490444001256,0.530040027923734,46.0705506806143,76.6501413702139,0.0537868352115601,76.8860473842056,7
"7",24,97,0.00292899534605625,0.0183659235015512,0.912170849274844,0.623627405148,0.672755188308656,387,7,"tanh","sigmoid",9.86614257127532,0.0237756531358251,8.84507053853937,0.113440247326125,0.0247501236994282,0.0808182556299227,8
"8",25,37,0.000211242371588661,0.105188907403499,0.04532141960226,0.682881001499481,0.585797243053094,504,7,"linear","tanh",9.86599736360937,0.0261861306768451,8.84491272269944,0.113439822902297,0.0262158001357765,0.0808161909580432,8
