"","Number","Activation_name","type","Number_of_inParams","Number_of_outParams"
"144",144,"Act_RM",9,0,0
"145",145,"Act_TACOMA",9,0,0
"146",146,"Act_CC_Thresh",9,0,0
"147",147,"Act_Sinus",9,0,0
"148",148,"Act_Exponential",9,0,0
"149",149,"Site_WeightedSum",3,0,0
"150",150,"Site_Pi",3,0,0
"151",151,"Site_Produkt",3,0,0
"152",152,"Site_Max",3,0,0
"153",153,"Site_Min",3,0,0
"154",154,"Site_at_least_2",3,0,0
"155",155,"Site_at_least_1",3,0,0
"156",156,"Site_at_most_0",3,0,0
"157",157,"Site_Reciprocal",3,0,0
"158",158,"Topological_Order",5,0,0
"159",159,"ART1_Stable",5,1,1
"160",160,"ART1_Synchronous",5,1,1
"161",161,"ART2_Stable",5,5,5
"162",162,"ART2_Synchronous",5,5,5
"163",163,"ARTMAP_Stable",5,3,3
"164",164,"ARTMAP_Synchronous",5,3,3
"165",165,"Auto_Synchronous",5,1,1
"166",166,"BAM_Order",5,0,0
"167",167,"BPTT_Order",5,0,0
"168",168,"CC_Order",5,0,0
"169",169,"CounterPropagation",5,0,0
"170",170,"Dynamic_LVQ",5,0,0
"171",171,"Hopfield_Fixed_Act",5,1,1
"172",172,"Hopfield_Synchronous",5,0,0
"173",173,"JE_Order",5,0,0
"174",174,"JE_Special",5,0,0
"175",175,"Kohonen_Order",5,0,0
"176",176,"Random_Order",5,0,0
"177",177,"Random_Permutation",5,0,0
"178",178,"Serial_Order",5,0,0
"179",179,"Synchonous_Order",5,0,0
"180",180,"TimeDelay_Order",5,0,0
"181",181,"ENZO_prop",5,1,1
"182",182,"Std_Backpropagation",1028,2,2
"183",183,"ART1",4,1,1
"184",184,"ART2",4,5,5
"185",185,"ARTMAP",4,3,3
"186",186,"BackPercolation",4,3,3
"187",187,"BackpropBatch",1028,2,2
"188",188,"BackpropChunk",4,3,3
"189",189,"BackpropClassJogChunk",4,5,5
"190",190,"BackpropJogChunk",4,5,5
"191",191,"BackpropMomentum",1028,4,4
"192",192,"BackpropWeightDecay",1028,4,4
"193",193,"BPTT",4,3,3
"194",194,"BBPTT",4,3,3
"195",195,"CC",4,5,5
"196",196,"Counterpropagation",4,3,3
"197",197,"Dynamic_LVQ",4,5,5
"198",198,"Hebbian",4,3,3
"199",199,"JE_BP",4,3,3
"200",200,"JE_BP_Momentum",4,5,5
"201",201,"JE_Quickprop",4,5,5
"202",202,"JE_Rprop",4,4,4
"203",203,"Kohonen",4,5,5
"204",204,"Monte-Carlo",4,4,4
"205",205,"PruningFeedForward",4,5,5
"206",206,"QPTT",4,4,4
"207",207,"Quickprop",1028,4,4
"208",208,"RadialBasisLearning",4,5,5
"209",209,"RBF-DDA",4,3,3
"210",210,"RM_delta",4,2,2
"211",211,"Rprop",1028,3,3
"212",212,"RpropMAP",1028,5,5
"213",213,"SCG",1028,4,4
"214",214,"Sim_Ann_SS",4,4,4
"215",215,"Sim_Ann_WTA",4,4,4
"216",216,"Sim_Ann_WWTA",4,4,4
"217",217,"TACOMA",4,5,5
"218",218,"TimeDelayBackprop",4,2,2
"219",219,"Std_Backpropagation",11,2,2
"220",220,"BackpropBatch",11,2,2
"221",221,"BackpropChunk",11,2,2
"222",222,"BackpropClassJogChunk",11,2,2
"223",223,"BackpropMomentum",11,4,4
"224",224,"BackpropWeightDecay",11,4,4
"225",225,"TimeDelayBackprop",11,2,2
"226",226,"Quickprop",11,4,4
"227",227,"Rprop",11,3,3
"228",228,"RpropMAP",11,5,5
"229",229,"BPTT",11,3,3
"230",230,"CC",11,5,5
"231",231,"TACOMA",11,5,5
"232",232,"BBPTT",11,3,3
"233",233,"QPTT",11,4,4
"234",234,"JE_BP",11,3,3
"235",235,"JE_BP_Momentum",11,5,5
"236",236,"JE_Quickprop",11,5,5
"237",237,"JE_Rprop",11,4,4
"238",238,"Monte-Carlo",11,4,4
"239",239,"SCG",11,4,4
"240",240,"Sim_Ann_SS",11,4,4
"241",241,"Sim_Ann_WTA",11,4,4
"242",242,"Sim_Ann_WWTA",11,4,4
"243",243,"Randomize_Weights",6,2,2
"244",244,"ART1_Weights",6,2,2
"245",245,"ART2_Weights",6,2,2
"246",246,"ARTMAP_Weights",6,4,4
"247",247,"CC_Weights",6,2,2
"248",248,"ClippHebb",6,2,2
"249",249,"CPN_Weights_v3.2",6,2,2
"250",250,"CPN_Weights_v3.3",6,2,2
"251",251,"CPN_Rand_Pat",6,0,0
"252",252,"DLVQ_Weights",6,2,2
"253",253,"Hebb",6,2,2
"254",254,"Hebb_Fixed_Act",6,2,2
"255",255,"JE_Weights",6,5,5
"256",256,"Kohonen_Rand_Pat",6,0,0
"257",257,"Kohonen_Weights_v3.2",6,2,2
"258",258,"Kohonen_Const",6,2,2
"259",259,"PseudoInv",6,0,0
"260",260,"Random_Weights_Perc",6,2,2
"261",261,"RBF_Weights",6,5,5
"262",262,"RBF_Weights_Kohonen",6,3,3
"263",263,"RBF_Weights_Redo",6,3,3
"264",264,"RM_Random_Weights",6,2,2
"265",265,"ENZO_noinit",6,0,0
"266",266,"MagPruning",10,1,1
"267",267,"OptimalBrainDamage",10,1,1
"268",268,"OptimalBrainSurgeon",10,1,1
"269",269,"Skeletonization",10,1,1
"270",270,"Noncontributing_Units",10,1,1
"271",271,"None",12,0,0
"272",272,"Binary",12,0,0
"273",273,"Inverse",12,0,0
"274",274,"Clip",12,2,2
"275",275,"LinearScale",12,2,2
"276",276,"Norm",12,0,0
"277",277,"Threshold",12,4,4
